DateAdded;IoC;Type;TPL
2/24/2022;winial.ru;domain;white
2/24/2022;acidop.ru;domain;white
2/24/2022;alley81.salts.kolorato.ru;domain;white
2/24/2022;anisoptera.ru;domain;white
2/24/2022;pertolka.ru;domain;white
2/24/2022;proteug.ru;domain;white
2/24/2022;opoziko.ru;domain;white
2/24/2022;ryomy.ru;domain;white
2/24/2022;stun.site;domain;white
2/24/2022;lotorda.ru;domain;white
2/24/2022;taramiet.ru;domain;white
2/24/2022;uzumoreru.ru;domain;white
2/24/2022;subtila.ru;domain;white
2/24/2022;dortisto.ru;domain;white
2/24/2022;mycoba.ru;domain;white
2/24/2022;0nxfri.moolin.ru;domain;white
2/24/2022;ruhodo.ru;domain;white
2/24/2022;lorianar.ru;domain;white
2/24/2022;bennerit.ru;domain;white
2/24/2022;ouichi.ru;domain;white
2/24/2022;google.com;domain;white
